participant,condition,rt
1,congruent,512.8441854578265
1,incongruent,537.6654060768814
1,congruent,482.62287003011335
1,incongruent,502.4190716367492
1,congruent,497.74861375955396
2,incongruent,510.7547765271462
2,congruent,416.60290317059315
2,incongruent,530.9886739856119
2,congruent,545.9498304530383
2,incongruent,521.2326518695804
3,congruent,530.3982161112517
3,incongruent,469.1058645855418
3,congruent,497.22190172377304
3,incongruent,575.9703601971731
3,congruent,515.0576681083357
4,incongruent,555.2838097074472
4,congruent,467.9646995847312
4,incongruent,507.5147826983209
4,congruent,448.7935604697543
4,incongruent,555.8823298550063
5,congruent,452.62626929075986
5,incongruent,525.4721278149666
5,congruent,487.19539039008765
5,incongruent,642.1931002616104
5,congruent,467.4025049152271
6,incongruent,561.7693286142428
6,congruent,503.8980424781855
6,incongruent,501.90716829349356
6,congruent,496.4345956938201
6,incongruent,622.2275429211675
7,congruent,522.5752026539608
7,incongruent,552.061646099647
7,congruent,478.87515838301874
7,incongruent,447.33763892297424
7,congruent,556.5668606707088
8,incongruent,476.96799645375893
8,congruent,536.9973755438667
8,incongruent,645.4551784608742
8,congruent,427.80534195141
8,incongruent,585.0892167687356
9,congruent,486.8901255298766
9,incongruent,471.3927920427256
9,congruent,424.26661731091247
9,incongruent,469.92319132127034
9,congruent,473.45467389148484
10,incongruent,476.912220750205
10,congruent,534.3958386487914
10,incongruent,655.0054470262836
10,congruent,435.64847619824104
10,incongruent,589.3869423737589
11,congruent,538.4521120500455
11,incongruent,566.6101289475059
11,congruent,449.5811695861496
11,incongruent,544.027369668467
11,congruent,485.98023324148767
12,incongruent,578.149476661024
12,congruent,481.37806219480854
12,incongruent,598.848669334281
12,congruent,481.2709571116493
12,incongruent,602.6355732789666
13,congruent,447.5411496666967
13,incongruent,486.99223776209436
13,congruent,662.0519967471203
13,incongruent,529.1571205919784
13,congruent,514.9113795770357
14,incongruent,581.8284837016924
14,congruent,475.8109687145628
14,incongruent,575.8431022156805
14,congruent,518.4482263692543
14,incongruent,539.2309746179153
15,congruent,503.26465167626577
15,incongruent,548.2966373130768
15,congruent,606.4225949508091
15,incongruent,512.9331951863586
15,congruent,445.2001866462668
16,incongruent,551.889419958554
16,congruent,515.5240374721568
16,incongruent,571.8261739455091
16,congruent,477.08173336444474
16,incongruent,496.83369330144046
17,congruent,563.1592588044745
17,incongruent,532.5174806023223
17,congruent,456.7243568673313
17,incongruent,538.1860215529451
17,congruent,490.1412052825724
18,incongruent,605.496014485682
18,congruent,504.2368646098598
18,incongruent,587.7026892592261
18,congruent,475.03539914138696
18,incongruent,560.7222654790801
19,congruent,483.76570442545824
19,incongruent,554.7291764086785
19,congruent,455.2318321011229
19,incongruent,484.4599233336014
19,congruent,599.8606692373983
20,incongruent,580.0354411836208
20,congruent,437.4364319187528
20,incongruent,519.441704165979
20,congruent,440.7259957701345
20,incongruent,659.940517444186
